Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;21.01.11;Hamburg;Ein Frankfurt;1;0;H;D;9;6;4;1;0;0;0;0
D1;22.01.11;Bayern Munich;Kaiserslautern;5;1;H;H;19;13;9;6;0;3;0;0
D1;22.01.11;Dortmund;Stuttgart;1;1;D;H;18;7;7;3;0;2;0;0
D1;22.01.11;FC Koln;Werder Bremen;3;0;H;H;11;3;5;1;3;2;0;0
D1;22.01.11;Freiburg;Nurnberg;1;1;D;H;6;11;2;2;0;1;0;0
D1;22.01.11;Hannover;Schalke 04;0;1;A;A;11;11;4;4;1;2;0;0
D1;22.01.11;Mainz;Wolfsburg;0;1;A;D;14;8;3;2;1;1;0;0
D1;23.01.11;Hoffenheim;St Pauli;2;2;D;H;10;14;4;5;1;1;0;0
D1;23.01.11;M'gladbach;Leverkusen;1;3;A;A;16;8;6;4;1;1;0;0
D1;28.01.11;Leverkusen;Hannover;2;0;H;H;11;9;6;3;0;0;0;0
D1;29.01.11;Kaiserslautern;Mainz;0;1;A;A;17;12;6;5;1;0;0;0
D1;29.01.11;Nurnberg;Hamburg;2;0;H;D;17;7;7;1;1;2;0;1
D1;29.01.11;Schalke 04;Hoffenheim;0;1;A;A;10;16;1;5;2;1;0;0
D1;29.01.11;St Pauli;FC Koln;3;0;H;H;30;3;10;2;0;4;0;0
D1;29.01.11;Werder Bremen;Bayern Munich;1;3;A;D;9;17;4;6;2;2;1;0
D1;29.01.11;Wolfsburg;Dortmund;0;3;A;A;9;17;2;8;2;2;0;0
D1;30.01.11;Ein Frankfurt;M'gladbach;0;1;A;D;17;16;2;7;0;2;0;0
D1;30.01.11;Stuttgart;Freiburg;0;1;A;A;15;9;4;3;0;2;0;0
D1;04.02.11;Dortmund;Schalke 04;0;0;D;D;21;6;9;2;2;3;0;0
D1;05.02.11;FC Koln;Bayern Munich;3;2;H;A;17;12;6;4;0;2;0;0
D1;05.02.11;Hannover;Wolfsburg;1;0;H;H;10;12;4;3;1;3;0;0
D1;05.02.11;Hoffenheim;Kaiserslautern;3;2;H;H;17;24;8;7;1;2;1;0
D1;05.02.11;Mainz;Werder Bremen;1;1;D;H;10;9;5;3;1;4;0;0
D1;05.02.11;M'gladbach;Stuttgart;2;3;A;H;12;9;5;3;1;2;1;0
D1;05.02.11;Nurnberg;Leverkusen;1;0;H;D;9;11;3;0;1;3;1;0
D1;06.02.11;Freiburg;Ein Frankfurt;0;0;D;D;12;12;0;3;0;2;0;0
D1;12.02.11;Bayern Munich;Hoffenheim;4;0;H;H;17;14;11;4;0;4;0;0
D1;12.02.11;Ein Frankfurt;Leverkusen;0;3;A;A;12;12;3;6;3;1;0;0
D1;12.02.11;Kaiserslautern;Dortmund;1;1;D;D;15;17;3;6;1;0;0;1
D1;12.02.11;Schalke 04;Freiburg;1;0;H;D;20;3;7;1;2;2;0;0
D1;12.02.11;St Pauli;M'gladbach;3;1;H;D;23;7;9;2;1;1;0;1
D1;12.02.11;Stuttgart;Nurnberg;1;4;A;A;10;20;5;10;3;1;0;0
D1;12.02.11;Wolfsburg;Hamburg;0;1;A;A;8;9;1;4;4;1;0;0
D1;13.02.11;FC Koln;Mainz;4;2;H;H;15;9;9;4;2;1;0;0
D1;13.02.11;Werder Bremen;Hannover;1;1;D;A;13;6;5;4;0;3;0;0
D1;16.02.11;Hamburg;St Pauli;0;1;A;D;22;5;6;3;4;2;0;0
D1;18.02.11;Nurnberg;Ein Frankfurt;3;0;H;D;16;3;7;1;2;2;0;0
D1;19.02.11;Dortmund;St Pauli;2;0;H;H;25;3;12;1;1;2;0;0
D1;19.02.11;Freiburg;Wolfsburg;2;1;H;D;14;18;5;8;3;0;0;0
D1;19.02.11;Hamburg;Werder Bremen;4;0;H;H;14;8;6;2;3;3;0;0
D1;19.02.11;Hannover;Kaiserslautern;3;0;H;H;12;10;5;4;1;1;0;0
D1;19.02.11;Hoffenheim;FC Koln;1;1;D;D;17;8;4;2;2;5;0;0
D1;19.02.11;Mainz;Bayern Munich;1;3;A;A;18;19;7;9;2;1;0;0
D1;20.02.11;Leverkusen;Stuttgart;4;2;H;H;18;11;7;4;1;2;0;0
D1;20.02.11;M'gladbach;Schalke 04;2;1;H;H;13;4;7;1;0;0;0;0
D1;25.02.11;Wolfsburg;M'gladbach;2;1;H;H;15;14;6;6;4;3;0;0
D1;26.02.11;Bayern Munich;Dortmund;1;3;A;A;14;16;4;5;2;3;0;0
D1;26.02.11;FC Koln;Freiburg;1;0;H;D;22;12;6;1;2;3;0;0
D1;26.02.11;Hoffenheim;Mainz;1;2;A;A;13;10;4;7;1;0;0;0
D1;26.02.11;Kaiserslautern;Hamburg;1;1;D;H;16;16;8;5;3;0;0;0
D1;26.02.11;Schalke 04;Nurnberg;1;1;D;A;16;16;8;4;1;3;0;0
D1;26.02.11;St Pauli;Hannover;0;1;A;D;7;8;1;5;0;2;0;0
D1;27.02.11;Ein Frankfurt;Stuttgart;0;2;A;D;30;11;5;6;2;1;0;1
D1;27.02.11;Werder Bremen;Leverkusen;2;2;D;A;9;17;6;6;2;1;0;1
